video_id,title,url,location,video_type,scene_type,time_of_day,weather,crowd_density,notable_objects,road_layout
goa_01,"Sinquerim Beach, Candolim Market & Candolim Beach",https://www.youtube.com/watch?v=gflBqzcPAKs,Goa,walk,promenade,afternoon,clear,low,"signage","sidewalk_present"
goa_02,"Dr. Salim Ali Bird Sanctuary Nature Trail",https://www.youtube.com/watch?v=O1vcEdp-UNY,Goa,walk,promenade,morning,clear,low,"animals",""
goa_03,"Fontainhas Panjim Streets on Rainy Day",https://www.youtube.com/watch?v=LcTItaFqA-8,Goa,walk,residential_lane,afternoon,rain,low,"","narrow_lane"
goa_04,"Busy Streets Scenes around MG Road Panjim",https://www.youtube.com/watch?v=ZnpFrYOjQKQ,Goa,walk,market,afternoon,clear,med,"street_vendor|signage","sidewalk_present"
goa_05,"Panjim Promenade On a Rainy Day",https://www.youtube.com/watch?v=IiT11lKrvVE,Goa,walk,promenade,afternoon,rain,low,"","sidewalk_present"
goa_06,"Exploring St. Estevam Island",https://www.youtube.com/watch?v=PKHjc9u3wHg,Goa,drive,residential_lane,afternoon,clear,low,"","wide_road"
goa_07,"Exploring Calangute Beach & Market",https://www.youtube.com/watch?v=C6Tn_V6-EXg,Goa,walk,market,afternoon,clear,med,"street_vendor","sidewalk_present"
goa_08,"Walking Driving Flying Around Chorao Island",https://www.youtube.com/watch?v=1bJMoSTs4rA,Goa,drive,residential_lane,afternoon,clear,low,"","wide_road"
goa_09,"Siridao Village & Siridao Beach",https://www.youtube.com/watch?v=HnKlAunBJgw,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_10,"18 June Road & Panjim Church",https://www.youtube.com/watch?v=m6vxCnejLKE,Goa,walk,temple_tourist,afternoon,clear,low,"signage","sidewalk_present"
goa_11,"Exploring Historic Corjuem Fort During Monsoon",https://www.youtube.com/watch?v=XaI7QtqS4O8,Goa,walk,temple_tourist,afternoon,rain,low,"","narrow_lane"
goa_12,"Baga Beach Walking Tour",https://www.youtube.com/watch?v=YX5LXl4bxTg,Goa,walk,promenade,afternoon,clear,med,"street_vendor","sidewalk_present"
goa_13,"Exploring Divar Island",https://www.youtube.com/watch?v=X2GEIVQCk6w,Goa,drive,residential_lane,afternoon,clear,low,"","wide_road"
goa_14,"Vibrant Streets of Altinho",https://www.youtube.com/watch?v=w2T-gXsHzjE,Goa,walk,residential_lane,afternoon,clear,low,"","narrow_lane"
goa_15,"Colorful Mala & Maruti Temple Panjim",https://www.youtube.com/watch?v=v0aVwAGV9dE,Goa,walk,temple_tourist,afternoon,clear,low,"","narrow_lane"
goa_16,"Nature & Beach Walk around Bambolim",https://www.youtube.com/watch?v=MaZ3WTmOfVc,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_17,"Campal Heritage Area Panjim",https://www.youtube.com/watch?v=t7xoacYTSJw,Goa,walk,residential_lane,afternoon,clear,low,"","sidewalk_present"
goa_18,"Miramar Beach to Campal Gardens",https://www.youtube.com/watch?v=jQPs0LTwVwY,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_19,"Using Panjim Bus for the First Time",https://www.youtube.com/watch?v=U2hl1v8xxlE,Goa,transit_ride,transit,afternoon,clear,low,"bus","wide_road"
goa_20,"Panjim Market Post-Lockdown Scenes",https://www.youtube.com/watch?v=Dxuqlhmwh-Q,Goa,walk,market,morning,clear,med,"street_vendor","narrow_lane"
goa_21,"Ourem Creek and Rua de Ourem Patto Panjim",https://www.youtube.com/watch?v=XeOliFWJBVg,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_22,"Ribandar & Chorao Island Ferry Ride",https://www.youtube.com/watch?v=vDnO_KXr0us,Goa,transit_ride,transit,afternoon,clear,low,"","wide_road"
goa_23,"Lower Aguada Fort Extension Hike",https://www.youtube.com/watch?v=GT89Ljv5zc8,Goa,walk,temple_tourist,afternoon,clear,low,"","narrow_lane"
goa_24,"Miramar Beach During Sunset",https://www.youtube.com/watch?v=QnWhWcry8rM,Goa,walk,promenade,evening,clear,low,"","sidewalk_present"
goa_25,"Nature Walk around Campal Gardens",https://www.youtube.com/watch?v=BimNT0Y5Hbs,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_26,"Panjim Mangrove Boardwalk",https://www.youtube.com/watch?v=P4lewi0UCKc,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_27,"Kayaking through Mangroves of Chorao Island",https://www.youtube.com/watch?v=IB9MFHPY9c8,Goa,other,promenade,afternoon,clear,low,"","wide_road"
goa_28,"Ponte de Linhares Ribandar & Old Goa Churches",https://www.youtube.com/watch?v=yP6LURr0e5Y,Goa,bike,temple_tourist,afternoon,clear,low,"bike","wide_road"
goa_29,"Lower Aguada Fort Sinquerim Beach",https://www.youtube.com/watch?v=04YKvC8kAgI,Goa,walk,temple_tourist,afternoon,clear,low,"","sidewalk_present"
goa_30,"Exploring Lesser Known Heritage Namazgah",https://www.youtube.com/watch?v=f2oXG655Wpc,Goa,walk,temple_tourist,afternoon,clear,low,"","narrow_lane"
goa_31,"Agassaim & Ancient Gopakapattana Port Ruins",https://www.youtube.com/watch?v=2_gdsRymzzM,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_32,"Dona Paula Jetty Unlock Scenes",https://www.youtube.com/watch?v=Y8Ea5ZpV7n8,Goa,walk,promenade,afternoon,clear,low,"","sidewalk_present"
goa_33,"Chapora Fort & Vagator View Point During Sunset",https://www.youtube.com/watch?v=LTCSPZap5EY,Goa,walk,temple_tourist,evening,clear,low,"","narrow_lane"
mumbai_01,"Walking Mumbai - Gateway of India FULL DETAILED Tour 4K",https://www.youtube.com/watch?v=LVguK9bqj4Y,Mumbai,walk,temple_tourist,afternoon,clear,high,"street_vendor|signage","wide_road|sidewalk_present"
mumbai_02,"Gateway of India Walking Tour 4K Binaural Audio",https://www.youtube.com/watch?v=_NofLLZazeA,Mumbai,walk,temple_tourist,afternoon,clear,high,"street_vendor","wide_road|sidewalk_present"
hyderabad_01,"A Hot Afternoon at Charminar India ASMR Walk",https://www.youtube.com/watch?v=VUGNQ9sef4c,Hyderabad,walk,temple_tourist,afternoon,clear,high,"street_vendor|auto_rickshaw","narrow_lane"
hyderabad_02,"Hyderabad India Walking Tour 4K Historic Monuments Old City",https://www.youtube.com/watch?v=KuikctNEXiI,Hyderabad,walk,temple_tourist,afternoon,clear,med,"street_vendor|auto_rickshaw|bike","narrow_lane"
delhi_01,"4K Delhi Walk - Inside The Red Fort",https://www.youtube.com/watch?v=TWqaSTSWzus,Delhi,walk,temple_tourist,afternoon,clear,med,"signage","wide_road"
